ch01	1	5	Front matter and Prologue: Russ & Frank
ch02	6	23	Ch1–3: They Wouldn't Dare / What It Is / Punching Bag
ch03	24	50	Ch4–7: War school to Waking Up in America
ch04	51	69	Ch8–10: Russell Bufalino and All the Way Downtown
ch05	70	98	Ch11–14: Jimmy, Paint Houses, early jobs
ch06	99	125	Ch15–17: Envelopes, messages, mockery
ch07	126	155	Ch18–21: Legal wars, Comedy Troupe, prison begins
ch08	156	195	Ch22–26: Cage, favors, collision course
ch09	196	210	Ch27–29: July 30, 1975 — To Paint a House
ch10	211	246	Ch30–31, Afterword, Epilogue: Aftermath and truth
